X DEV,Y DEV,DEPTH,TVD
-11.91569,62.88432,10399.000332767982,9940.32715
-11.95735,63.08949,10399.500332783982,9940.78125
-11.999,63.29459,10400.000332799982,9941.23535
-12.04067,63.49961,10400.500332815982,9941.68945
-12.08233,63.70457,10401.000332831982,9942.14355
-12.124,63.90945,10401.500332847982,9942.59766
-12.16568,64.11427,10402.000332863981,9943.05273
-12.20736,64.319,10402.500332879981,9943.50684
-12.24904,64.52367,10403.000332895981,9943.96094
-12.29073,64.72826,10403.50033291198,9944.41504
-12.33242,64.93279,10404.00033292798,9944.86914
-12.37412,65.13725,10404.50033294398,9945.32422
-12.41582,65.34162,10405.00033295998,9945.77832
-12.45753,65.54594,10405.50033297598,9946.23242
-12.49924,65.75017,10406.00033299198,9946.6875
-12.54095,65.95434,10406.50033300798,9947.1416
-12.58267,66.15843,10407.00033302398,9947.59668
-12.62439,66.36245,10407.50033303998,9948.05078
-12.66612,66.5664,10408.00033305598,9948.50586
-12.70785,66.77028,10408.50033307198,9948.95996
-12.74958,66.97409,10409.000333087979,9949.41504
-12.79132,67.17783,10409.500333103979,9949.86914
-12.83306,67.38148,10410.000333119979,9950.32422
-12.87481,67.58508,10410.500333135979,9950.7793
-12.91656,67.7886,10411.000333151978,9951.2334
-12.95832,67.99205,10411.500333167978,9951.68848
-13.00008,68.19543,10412.000333183978,9952.14355
-13.04184,68.39873,10412.500333199978,9952.59863
-13.08361,68.60196,10413.000333215978,9953.05273
-13.12538,68.80512,10413.500333231977,9953.50781
-13.16716,69.00822,10414.000333247977,9953.96289
-13.20894,69.21123,10414.500333263977,9954.41797
-13.25072,69.41418,10415.000333279977,9954.87305
-13.29251,69.61705,10415.500333295977,9955.32813
-13.33431,69.81985,10416.000333311977,9955.7832
-13.3761,70.02258,10416.500333327976,9956.23828
-13.4179,70.22524,10417.000333343976,9956.69336
-13.45971,70.42783,10417.500333359976,9957.14844
-13.50152,70.63034,10418.000333375976,9957.60449
-13.54333,70.83279,10418.500333391976,9958.05957
-13.58515,71.03516,10419.000333407976,9958.51465
-13.62697,71.23746,10419.500333423975,9958.96973
-13.66879,71.43968,10420.000333439975,9959.42578
-13.71062,71.64185,10420.500333455975,9959.88086
-13.75246,71.84393,10421.000333471975,9960.33594
-13.79429,72.04594,10421.500333487975,9960.79199
-13.83613,72.24788,10422.000333503975,9961.24707
-13.87798,72.44975,10422.500333519974,9961.70313
-13.91983,72.65154,10423.000333535974,9962.1582
-13.96168,72.85327,10423.500333551974,9962.61426
-14.00354,73.05492,10424.000333567974,9963.06934
-14.0454,73.2565,10424.500333583974,9963.52539
-14.08726,73.45802,10425.000333599974,9963.98047
-14.12913,73.65945,10425.500333615973,9964.43652
-14.171,73.86082,10426.000333631973,9964.89258
-14.21288,74.0621,10426.500333647973,9965.34766
-14.25475,74.26333,10427.000333663973,9965.80371
-14.29664,74.46448,10427.500333679973,9966.25977
-14.33852,74.66556,10428.000333695973,9966.71582
-14.38042,74.86656,10428.500333711972,9967.1709
-14.42231,75.0675,10429.000333727972,9967.62695
-14.46421,75.26836,10429.500333743972,9968.08301
-14.50611,75.46915,10430.000333759972,9968.53906
-14.54802,75.66987,10430.500333775972,9968.99512
-14.58993,75.87051,10431.000333791972,9969.45117
-14.63184,76.07109,10431.500333807971,9969.90723
-14.67376,76.27159,10432.000333823971,9970.36328
-14.71568,76.47202,10432.500333839971,9970.81934
-14.7576,76.67238,10433.000333855969,9971.27539
-14.79953,76.87267,10433.500333871969,9971.73242
-14.84147,77.07288,10434.000333887969,9972.18848
-14.8834,77.27303,10434.500333903969,9972.64453
-14.92534,77.4731,10435.000333919968,9973.10059
-14.96728,77.6731,10435.500333935968,9973.55762
-15.00923,77.87302,10436.000333951968,9974.01367
-15.05118,78.07288,10436.500333967968,9974.46973
-15.09314,78.27266,10437.000333983968,9974.92676
-15.13509,78.47237,10437.500333999968,9975.38281
-15.17706,78.67201,10438.000334015967,9975.83887
-15.21902,78.87157,10438.500334031967,9976.2959
-15.26099,79.07108,10439.000334047967,9976.75195
-15.30296,79.27049,10439.500334063967,9977.20898
-15.34494,79.46984,10440.000334079967,9977.66602
-15.38692,79.66912,10440.500334095967,9978.12207
-15.4289,79.86833,10441.000334111966,9978.5791
-15.47089,80.06747,10441.500334127966,9979.03516
-15.51288,80.26653,10442.000334143966,9979.49219
-15.55487,80.46552,10442.500334159966,9979.94922
-15.59687,80.66444,10443.000334175966,9980.40625
-15.63887,80.86328,10443.500334191966,9980.8623
-15.68087,81.06206,10444.000334207965,9981.31934
-15.72288,81.26077,10444.500334223965,9981.77637
-15.76489,81.4594,10445.000334239965,9982.2334
-15.8069,81.65795,10445.500334255965,9982.69043
-15.84892,81.85644,10446.000334271965,9983.14746
-15.89094,82.05486,10446.500334287965,9983.60449
-15.93297,82.2532,10447.000334303964,9984.06152
-15.975,82.45147,10447.500334319964,9984.51855
-16.01703,82.64966,10448.000334335964,9984.97559
-16.05906,82.84779,10448.500334351964,9985.43262
-16.1011,83.04585,10449.000334367964,9985.88965
-16.14314,83.24383,10449.500334383963,9986.34766
-16.18519,83.44173,10450.000334399963,9986.80469
-16.22724,83.63957,10450.500334415963,9987.26172
-16.26929,83.83734,10451.000334431963,9987.71875
-16.31134,84.03503,10451.500334447963,9988.17676
-16.3534,84.23265,10452.000334463963,9988.63379
-16.39541,84.43025,10452.500334479962,9989.09082
-16.43744,84.62788,10453.000334495962,9989.54883
-16.4795,84.82551,10453.500334511962,9990.00586
-16.52157,85.02315,10454.000334527962,9990.46289
-16.56367,85.22081,10454.500334543962,9990.9209
-16.60578,85.41848,10455.000334559962,9991.37793
-16.64792,85.61617,10455.500334575961,9991.83496
-16.69007,85.81387,10456.000334591961,9992.29297
-16.73225,86.01157,10456.500334607961,9992.75
-16.77445,86.2093,10457.000334623961,9993.20703
-16.81667,86.40704,10457.50033463996,9993.66406
-16.85892,86.6048,10458.00033465596,9994.12207
-16.90118,86.80256,10458.50033467196,9994.5791
-16.94346,87.00034,10459.00033468796,9995.03613
-16.98576,87.19814,10459.50033470396,9995.49316
-17.02809,87.39594,10460.00033471996,9995.95117
-17.07043,87.59377,10460.50033473596,9996.4082
-17.1128,87.7916,10461.00033475196,9996.86523
-17.15519,87.98944,10461.50033476796,9997.32227
-17.1976,88.1873,10462.00033478396,9997.7793
-17.24003,88.38518,10462.50033479996,9998.2373
-17.28248,88.58307,10463.000334815959,9998.69434
-17.32495,88.78097,10463.500334831959,9999.15137
-17.36744,88.97888,10464.000334847959,9999.6084
-17.40995,89.17681,10464.500334863958,10000.06543
-17.45249,89.37475,10465.000334879958,10000.52246
