Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
298	10623.9			26.8	26.9	1600.0		2.63	20
299	10624.1			26.9	27.0	1300.0		2.63	20
300	10625.0			27.5	27.2	1900.0		2.63	20
									
301	10625.8			26.7	26.0	2200.0	1700	2.64	20
302	10626.3	46	23	23.0	23.4	1100.0		2.61	20
303	10627.4			20.8	22.8	240.0		2.67	20
304	10628.3			26.5	25.3	1200.0		2.64	20
305	10629.2			27.2	27.1	1300.0		2.63	20
									
306	10630.3			27.4	27.2	2000.0		2.63	20
307	10631.2			26.7	25.9	1600.0		2.64	20
308	10632.2			23.0	24.6	380.0		2.65	20
309	10633.1			25.6	24.0	530.0		2.64	20
310	10634.2			21.6	23.4	120.0		2.67	20
									
311	10635.2	45	24	24.7	23.6	1500.0		2.65	20
312	10636.1			23.5	23.8	750.0		2.66	20
313	10637.2			23.5	23.3	620.0		2.67	20
314	10638.1			22.8	23.2	320.0		2.68	20
315	10639.1			23.7	23.3	780.0		2.67	20
									
316	10640.2			23.0	22.6	670.0		2.66	20
317	10641.1			20.7	20.9	380.0		2.72	20
318	10642.3	39	22	19.2	18.9	2700.0		2.70	20
319	10643.2			16.5	19.8	27.0		2.73	20
320	10643.7			27.1	22.8	1600.0	1600	2.69	20
									
321	10644.7			20.5	23.5	69.0		2.66	20
322	10645.7			25.7	22.6	400.0		2.68	20
323	10646.6			18.4	22.6	73.0		2.66	20
324	10647.6			27.9	24.9	1000.0		2.63	20
325	10648.7			25.7	25.7	750.0		2.64	20
									
326	10649.6	54	25	23.6	23.7	530.0		2.65	20
327	10650.7			22.0	22.2	270.0		2.68	20
328	10651.7			21.3	22.2	290.0		2.69	20
329	10652.4			24.3	24.0	320.0		2.66	20
330	10653.3			26.0	25.8	560.0		2.65	20
									
331	10654.3			26.9	26.2	440.0		2.63	20
332	10655.3	53	26	25.0	25.5	500.0		2.64	20
333	10656.4			25.2	25.2	250.0		2.64	20
334	10657.4			25.5	25.8	680.0		2.64	20
335	10657.9			27.1	27.3	1000.0		2.63	20
									
336	10658.9			29.6	27.7	1500.0		2.63	20
337	10659.9			24.3	25.8	500.0		2.66	20
338	10660.9			25.0	24.7	1100.0		2.64	20
339	10661.9			24.7	24.5	940.0		2.65	20
340	10662.5	45	27	23.7	24.9	810.0		2.65	20
									
341	10663.7			27.5	25.0	1400.0	1300	2.63	20
342	10664.7			21.4	24.9	270.0		2.66	20
343	10665.8			29.5	26.7	2800.0		2.63	20
344	10666.5			26.4	26.5	1600.0		2.64	20
345	10667.2			23.7	24.5	430.0		2.64	20
									
346	10668.4			24.4	24.2	620.0		2.64	20
347	10669.5	51	25	24.5	24.2	560.0		2.64	20
348	10670.2			23.5	24.1	400.0		2.66	20
349	10671.3			24.9	25.0	300.0		2.64	20
350	10671.9			26.5	27.1	780.0		2.63	20
									
351	10672.9			30.6	27.3	1600.0		2.63	20
352	10674.4			21.3	24.3	240.0		2.64	20
353	10674.7			24.0	22.4	250.0		2.62	20
354	10675.7			20.2	21.4	140.0		2.63	20
355	10676.3	50	23	21.0	20.9	90.0		2.66	20
									
356	10677.5			21.6	22.4	240.0		2.64	20
357	10678.6			25.6	24.5	370.0		2.61	20
358	10679.5			25.2	24.3	850.0		2.63	20
359	10680.3			21.0	23.6	270.0		2.63	20
360	10681.4			27.3	24.6	1800.0		2.61	20
									
361	10682.5			22.9	24.2	620.0		2.63	20
362	10683.3	50	26	23.8	24.4	650.0		2.65	20
363	10684.2			27.1	25.4	1600.0	1600	2.63	20
364	10685.3			23.5	24.0	970.0		2.62	20
365	10686.1			21.7	23.4	590.0		2.63	20
									
366	10687.2			26.7	25.1	1700.0		2.60	20
367	10688.1			25.5	24.3	1200.0		2.61	20
368	10688.9			19.5	23.3	190.0		2.60	20
369	10690.0			28.6	25.8	2400.0		2.60	20
370	10690.9			26.5	27.1	1700.0		2.61	20
									
371	10691.1			26.7	25.7	1600.0		2.64	20
372	10691.2			22.8	23.5	1000.0		2.66	20
373	10692.1			21.8	22.7	530.0		2.66	20
374	10693.0			24.2	23.6	1100.0		2.64	20
375	10694.1	50	19	24.3	25.0	970.0		2.63	20
									
376	10695.1			27.4	26.7	2200.0		2.63	20
377	10695.7			27.7	27.3	3100.0		2.63	20
378	10696.7			26.2	24.1	1900.0		2.64	20
379	10698.0			16.1	20.8	6.5		2.62	20
380	10698.7			24.8	22.7	780.0		2.64	20
									
381	10699.4			25.0	23.6	980.0		2.63	20
382	10700.9			19.7	21.4	120.0		2.68	20
383	10701.5			21.1	21.6	93.0		2.64	20
384	10702.1	53	21	24.7	23.7	1900.0		2.64	20
385	10703.3			24.4	24.8	790.0	610	2.65	20
									
386	10704.3			25.6	25.1	750.0		2.65	20
387	10705.4			24.6	25.3	280.0		2.64	20
388	10706.4			26.4	25.7	790.0		2.65	20
389	10707.1			25.4	25.7	530.0		2.65	20
390	10708.1			25.7	24.6	790.0		2.66	20
									
391	10709.1	47	23	21.5	23.6	270.0		2.67	20
392	10709.9			25.5	24.4	1200.0		2.65	20
393	10710.9			25.2	25.5	980.0		2.65	20
394	10711.9			25.9	26.1	1300.0		2.64	20
395	10712.6			27.3	27.3	1300.0		2.64	20
									
396	10713.6			28.6	28.3	1300.0		2.63	20
397	10714.7			28.9	28.8	2800.0		2.63	20
398	10715.3			28.6	28.5	2400.0		2.63	20
399	10716.2	50	21	27.8	27.9	2100.0		2.63	20
400	10717.2			27.5	27.6	1800.0		2.64	20
									
401	10718.5			27.5	27.9	1500.0		2.64	20
402	10719.3			29.2	27.8	1700.0		2.63	20
403	10720.3			25.5	26.9	750.0		2.66	20
404	10721.1			27.5	26.8	1100.0		2.64	20
405	10722.0			26.5	26.6	1300.0		2.64	20
									
406	10723.1			25.7	25.7	680.0		2.63	20
407	10724.1	43	20	24.9	25.6	1800.0		2.64	20
408	10724.9			26.9	26.4	2000.0	2000	2.64	20
409	10725.9			27.0	26.2	1400.0		2.63	20
410	10727.1			24.1	23.5	370.0		2.63	20
									
411	10728.1			18.9	21.7	250.0		2.69	20
412	10729.1			24.9	23.6	1400.0		2.65	20
413	10730.0			25.8	26.0	1000.0		2.64	20
414	10731.2			27.5	26.7	1400.0		2.64	20
415	10732.0	46	26	25.8	26.8	1500.0		2.64	20
									
416	10732.7			28.0	27.2	1500.0		2.65	20
417	10733.8			27.0	27.4	1300.0		2.65	20
418	10734.8			27.7	27.8	1200.0		2.66	20
419	10735.7			29.0	28.5	2600.0		2.65	20
420	10736.8			28.5	28.4	2700.0		2.64	20
									
421	10737.8			27.6	27.9	1300.0		2.65	20
422	10738.8	50	19	27.6	27.1	1800.0		2.66	20
423	10739.7			25.5	26.4	1100.0		2.66	20
424	10740.7			26.9	26.1	1400.0		2.64	20
425	10741.6			25.1	25.5	710.0		2.65	20
									
426	10742.4			24.9	25.1	880.0		2.66	20
427	10743.4			25.5	25.6	980.0		2.66	20
428	10744.5			26.3	25.2	680.0		2.65	20
429	10745.5	49	24	22.8	24.2	390.0		2.65	20
430	10746.8			24.9	24.3	750.0		2.65	20
									
431	10747.2			24.7	23.2	810.0	720	2.64	20
432	10748.2			18.6	20.5	110.0		2.67	20
433	10749.3			20.0	20.1	39.0			20
434	10750.1			21.8	22.2	160.0		2.65	20
435	10751.1			25.2	23.8	320.0		2.65	20
									
436	10752.1			23.0	22.6	250.0		2.66	20
