Depth,Porosity,Saturation 
10594.16,0.268154,0.151398
10594.6,0.271515,0.153321
10595.04,0.266667,0.156622
10595.47,0.269091,0.157266
10595.91,0.271515,0.160921
10596.35,0.261818,0.174775
10596.79,0.264242,0.178924
10597.22,0.25697,0.189918
10597.66,0.264242,0.187947
10598.1,0.269091,0.185057
10598.54,0.262448,0.187149
10598.97,0.264242,0.183743
10599.41,0.264242,0.18252
10599.85,0.266667,0.179734
10600.29,0.25697,0.187217
10600.72,0.249697,0.192897
10601.16,0.245455,0.198016
10601.6,0.254545,0.193273
10602.04,0.250909,0.198353
10602.47,0.24303,0.206205
10602.91,0.247273,0.209763
10603.35,0.245455,0.217006
10603.78,0.245455,0.223022
10604.22,0.240606,0.234759
10604.66,0.24303,0.241313
10605.1,0.24303,0.249415
10605.53,0.238182,0.264602
10605.97,0.228485,0.284377
10606.41,0.228485,0.290971
10606.84,0.247879,0.274364
10607.28,0.26303,0.274016
10607.72,0.264242,0.289205
10608.15,0.254545,0.322068
10608.59,0.240606,0.361017
10609.03,0.245455,0.36392
10609.46,0.230909,0.406099
10609.9,0.230909,0.431763
10610.34,0.219941,0.45633
10614.27,0.17085,0.594158
10615.58,0.15038,0.609389
10616.01,0.182644,0.60048
10616.45,0.200941,0.64289
10616.88,0.21549,0.630634
10617.32,0.208213,0.61485
10617.76,0.179902,0.665945
10625.6,0.242589,0.696897
10637.35,0.157173,0.536831
10637.79,0.191375,0.458734
10638.22,0.222346,0.418453
10638.66,0.228455,0.383195
10639.09,0.245761,0.32272
10639.53,0.243337,0.30721
10639.96,0.251275,0.291946
10640.4,0.254393,0.288112
10640.83,0.264242,0.273683
10641.27,0.246112,0.257268
10641.7,0.229071,0.246049
10642.13,0.234591,0.237297
10642.57,0.243393,0.234045
10643,0.252039,0.231315
10643.44,0.251557,0.238086
10643.87,0.242704,0.23821
10644.31,0.233577,0.224717
10644.74,0.252818,0.205099
10645.18,0.27394,0.192041
10645.61,0.276364,0.185455
10646.04,0.276364,0.185381
10646.48,0.269091,0.187176
10646.91,0.278788,0.178894
10647.35,0.287879,0.174139
10647.78,0.292416,0.171597
10648.21,0.286055,0.178673
10648.65,0.277969,0.194426
10649.08,0.255793,0.205672
10649.52,0.215233,0.222078
