,DEPTH,Rt,TVD,density_porosity,GR,Sw,Vshale
187,10793.500345391703,45.55897,10715.5,0.288950276243094,68.60600000000001,0.1185507797229281,0.03361494964682549
188,10794.000345407703,45.3981,10716.0,0.288950276243094,71.337,0.11876063871321026,0.07677183407951038
189,10794.500345423703,39.86175,10716.5,0.28011049723756914,74.512,0.13073952784493842,0.1334245561157738
190,10795.000345439705,33.418479999999995,10717.0,0.28232044198895034,72.16,0.14167029741078244,0.09075531282136826
191,10795.500345455705,29.96943,10717.5,0.2756906077348067,68.60600000000001,0.15319805973183134,0.03361494964682549
192,10796.000345471704,23.45621,10718.0,0.27127071823204424,69.079,0.17598783124829634,0.04074729407634132
193,10796.500345487704,20.0049,10718.5,0.2756906077348067,69.898,0.1875099482959968,0.05342937551435968
194,10797.000345503704,16.5868,10719.0,0.26906077348066304,70.969,0.211000161075312,0.07067048960454808
195,10797.500345519704,13.310720000000002,10719.5,0.2668508287292818,70.969,0.2374899015185831,0.07067048960454808
196,10798.000345535702,12.46698,10720.0,0.2756906077348067,70.252,0.23752639372924866,0.05904442846832333
197,10798.500345551702,10.91651,10720.5,0.28232044198895034,69.788,0.24787358240199456,0.05170114386259599
198,10799.000345567702,9.50323,10721.0,0.2834254143646408,70.969,0.2646306032477889,0.07067048960454808
199,10799.5003455837,7.93538,10721.5,0.2867403314917128,72.48899999999998,0.28624758409072665,0.09647888615743216
220,10810.000345919698,7.02165,10732.0,0.29723756906077337,80.419,0.2935561528305252,0.2606554157867557
221,10810.500345935698,7.56113,10732.5,0.3016574585635358,75.694,0.2787449813260571,0.15647527648469195
222,10811.000345951696,8.27161,10733.0,0.3082872928176795,74.512,0.2607737235972858,0.1334245561157738
223,10811.500345967697,11.7325,10733.5,0.3082872928176795,75.694,0.21895938858776065,0.15647527648469195
224,10812.000345983697,16.08229,10734.0,0.3127071823204419,77.447,0.18437527297400266,0.19278926012380104
225,10812.500345999697,16.73919,10734.5,0.3093922651933702,78.056,0.1826576246530514,0.2060293429194141
226,10813.000346015695,18.99453,10735.0,0.30386740331491696,78.056,0.17458868209370434,0.2060293429194141
227,10813.500346031695,11.95166,10735.5,0.30386740331491696,78.056,0.22009807675597948,0.2060293429194141
228,10814.000346047696,6.83047,10736.0,0.30386740331491696,77.458,0.2911421390448568,0.19302548298227604
229,10814.500346063696,6.34645,10736.5,0.30386740331491696,76.875,0.30204032657069657,0.18065156692272055
230,10815.000346079696,6.08954,10737.0,0.3082872928176795,75.632,0.3039251287668288,0.15523817834470865
231,10815.500346095696,7.00782,10737.5,0.3116022099447514,74.512,0.28029960064318604,0.1334245561157738
232,10816.000346111696,8.99201,10738.0,0.3215469613259668,76.875,0.23979585776805565,0.18065156692272055
233,10816.500346127697,13.48204,10738.5,0.3281767955801104,75.694,0.1918795986713052,0.15647527648469195
234,10817.000346143695,20.980970000000006,10739.0,0.3303867403314916,75.39399999999998,0.1527844259232173,0.15051846430313606
235,10817.500346159695,20.104470000000006,10739.5,0.3325966850828728,74.866,0.15504231576527214,0.14021108210707656
236,10818.000346175695,19.48787,10740.0,0.338121546961326,74.512,0.15490286239325407,0.1334245561157738
237,10818.500346191695,16.215,10740.5,0.3408839779005525,75.312,0.16844162074212146,0.14890300003992255
238,10819.000346207697,13.98839,10741.0,0.3453038674033149,75.694,0.17903138388577702,0.15647527648469195
239,10819.500346223696,13.23324,10741.5,0.3408839779005525,74.845,0.18645532611809384,0.13980573285786718
240,10820.000346239694,12.37186,10742.0,0.3386740331491713,73.331,0.19409532681789998,0.11148418152280803
241,10820.500346255694,11.73114,10742.5,0.33646408839779,74.66,0.2006345169107572,0.1362498637479383
242,10821.000346271694,11.08664,10743.0,0.3342541436464088,75.694,0.2077484081090219,0.15647527648469195
243,10821.500346287694,10.20478,10743.5,0.3342541436464088,75.694,0.2165388640791592,0.15647527648469195
244,10822.000346303694,10.13381,10744.0,0.3408839779005525,75.694,0.21306960921462648,0.15647527648469195
245,10822.500346319694,10.09207,10744.5,0.3430939226519337,75.694,0.2121345098082084,0.15647527648469195
246,10823.000346335692,10.04911,10745.0,0.3475138121546961,78.056,0.2098836491948225,0.2060293429194141
247,10823.500346351691,9.99446,10745.5,0.33646408839779,78.056,0.21736824169509145,0.2060293429194141
248,10824.000346367691,10.02991,10746.0,0.3325966850828728,77.128,0.21950683245119834,0.1859850120472256
249,10824.500346383691,10.05209,10746.5,0.3342541436464088,75.694,0.21817726499212195,0.15647527648469195
