,DEPTH,Rt,GR,TVD,density_porosity,Sw,Vshale
99,10649.500340783889,18.181,63.794,10168.86914,0.23093922651933685,0.2348052953301383,0.2629826436771853
100,10650.000340799888,18.079,64.038,10169.3252,0.23867403314917124,0.2278358717562901,0.2663309406420278
101,10650.500340815888,17.878,66.11399999999999,10169.78125,0.2453038674033149,0.2229208115729318,0.2955945530668743
103,10651.500340847888,17.579,65.137,10170.69336,0.2303867403314916,0.2393645954240094,0.2816479033484953
104,10652.000340863888,17.383,65.626,10171.14941,0.2414364640883977,0.22969378801885176,0.2885890614013619
105,10652.500340879888,17.189,61.23,10171.60547,0.2475138121546961,0.22531480654467004,0.2289148437217321
106,10653.000340895887,17.093,58.788,10172.06152,0.2508287292817678,0.22296056328779665,0.1982895089682059
107,10653.500340911889,16.903,59.521,10172.51758,0.2508287292817678,0.2242101676877483,0.20730154870449768
108,10654.000340927889,16.808,61.963,10172.97363,0.2524861878453038,0.22336690793178035,0.2384493180872391
109,10654.500340943889,16.808,62.573,10173.42969,0.25745856353591146,0.21905295477429973,0.2465077544138956
110,10655.000340959888,16.808,60.742,10173.88574,0.26132596685082865,0.21581115628926767,0.22265604037980904
111,10655.500340975888,16.62,60.375,10174.3418,0.2646408839779006,0.21430979898485275,0.21799532955584905
112,10656.000340991886,16.528,62.085,10174.79883,0.27127071823204424,0.20965315766859485,0.24005194329973115
113,10656.500341007886,16.435,62.817,10175.25488,0.2679558011049723,0.21284647360205555,0.2497630253478677
114,10657.000341023886,15.890999999999998,63.794,10175.71094,0.2624309392265194,0.221016057987812,0.2629826436771853
115,10657.500341039886,15.626,64.283,10176.16602,0.2475138121546961,0.2363149123500796,0.2697119829422051
116,10658.000341055886,15.539,63.672,10176.62207,0.2375690607734805,0.2468954367537292,0.26131555185073474
117,10658.500341071884,15.539,63.794,10177.07813,0.2325966850828728,0.25217348647055465,0.2629826436771853
118,10659.000341087885,15.626,66.60300000000001,10177.53418,0.2320441988950276,0.2520692398400849,0.3026939817513795
124,10662.000341183884,17.678,66.48,10180.27051,0.2259668508287292,0.24336223167817536,0.3009006876671321
125,10662.500341199884,18.079,65.137,10180.72656,0.22044198895027625,0.246679440097036,0.2816479033484953
126,10663.000341215884,18.079,63.428,10181.18164,0.21988950276243105,0.2472992376852194,0.2579954154422594
127,10663.500341231884,17.778,60.375,10181.6377,0.2281767955801104,0.24032643793695044,0.21799532955584905
128,10664.000341247884,17.480999999999998,59.643,10182.09375,0.2303867403314916,0.2400346070270993,0.20881635922720587
129,10664.500341263883,17.383,59.277,10182.5498,0.2287292817679556,0.2424545540198992,0.20428469175121672
130,10665.000341279883,17.285999999999998,57.933,10183.00586,0.2232044198895027,0.24915203151572754,0.1879683216859839
131,10665.500341295883,17.093,58.178,10183.46094,0.2292817679558012,0.2439134836931557,0.19090506819101452
132,10666.000341311883,16.903,59.887,10183.91699,0.2491712707182321,0.22570158787192385,0.21185880439730448
133,10666.500341327885,16.903,58.422,10184.37305,0.2624309392265194,0.21429771816892126,0.1938463766380532
134,10667.000341343884,16.62,56.957,10184.8291,0.254696132596685,0.22267764363068224,0.17643271658571996
135,10667.500341359882,16.528,55.858,10185.28418,0.2436464088397789,0.2334233569507485,0.16375056564428406
136,10668.000341375882,16.252,54.27,10185.74023,0.2458563535911601,0.23328114285482884,0.14598439355872686
137,10668.500341391882,16.343,53.782,10186.19629,0.23867403314917124,0.2396312288790557,0.14065425651446567
138,10669.000341407882,16.160999999999998,52.805,10186.65234,0.238121546961326,0.2415358870851577,0.13016175778363076
139,10669.500341423882,16.343,52.805,10187.10742,0.23093922651933685,0.2476571552051486,0.13016175778363076
140,10670.000341439882,16.435,56.102,10187.56348,0.2270718232044199,0.2511691963430582,0.166538545255431
141,10670.50034145588,16.808,54.148,10188.01855,0.23646408839779,0.2385015816000552,0.14464622674983155
142,10671.00034147188,16.998,54.515,10188.47461,0.23701657458563524,0.2366120440973091,0.14868310204283394
143,10671.50034148788,17.579,59.643,10188.93066,0.2425414364640885,0.22736910317041426,0.20881635922720587
144,10672.00034150388,17.977999999999994,62.573,10189.38574,0.23701657458563524,0.2300726908357321,0.2465077544138956
145,10672.50034151988,18.49,63.184,10189.8418,0.2403314917127072,0.2237357270317615,0.2546939210359033
146,10673.00034153588,19.122,64.649,10190.29785,0.2392265193370165,0.22102352388512167,0.2747985881360623
147,10673.50034155188,19.556,62.817,10190.75293,0.2441988950276241,0.21410695174177072,0.2497630253478677
148,10674.00034156788,19.777,61.963,10191.20898,0.2469613259668509,0.21052579797689494,0.2384493180872391
149,10674.50034158388,19.666,57.81100000000001,10191.66406,0.2491712707182321,0.2092466399020039,0.1865121226476979
150,10675.00034159988,19.556,59.154,10192.12012,0.2458563535911601,0.21266353408957892,0.20277032682179355
151,10675.50034161588,19.016,59.887,10192.5752,0.2469613259668509,0.2146969844693048,0.21185880439730448
152,10676.00034163188,18.698,59.154,10193.03125,0.2513812154696133,0.21270812419222024,0.20277032682179355
153,10676.50034164788,18.283,60.742,10193.48633,0.2475138121546961,0.21846974836206365,0.22265604037980904
154,10677.00034166388,17.778,59.399,10193.94238,0.2524861878453038,0.217187787457244,0.20579099687007976
155,10677.500341679879,17.480999999999998,63.184,10194.39746,0.25745856353591146,0.21479491658862748,0.2546939210359033
156,10678.00034169588,17.189,64.405,10194.85352,0.253038674033149,0.2203952692838695,0.2714027467684875
157,10678.50034171188,16.714000000000002,64.527,10195.30859,0.2486187845303865,0.2274784913835162,0.27309827735347664
158,10679.00034172788,16.808,66.969,10195.76465,0.2497237569060773,0.2258377808071319,0.30806033190818266
159,10679.500341743878,16.714000000000002,66.725,10196.21973,0.2558011049723757,0.2210914063122726,0.3044777314977219
160,10680.000341759878,16.62,66.48,10196.6748,0.2607734806629834,0.2174881222748824,0.3009006876671321
174,10687.000341983876,15.890999999999998,62.32899999999999,10203.05078,0.2458563535911601,0.2359160169532825,0.24327076127341896
175,10687.500341999876,17.189,61.352,10203.50586,0.2513812154696133,0.2218484249055212,0.2304905884568979
176,10688.000342015877,16.998,61.963,10203.96094,0.2519337016574585,0.22260212043365246,0.2384493180872391
177,10688.500342031875,16.998,58.422,10204.41602,0.2508287292817678,0.22358274651485813,0.1938463766380532
178,10689.000342047875,17.189,59.154,10204.87109,0.2458563535911601,0.22683378276856675,0.20277032682179355
179,10689.500342063875,15.452,60.253,10205.32715,0.2508287292817678,0.23450108122961186,0.2164547135790128
180,10690.000342079875,16.528,62.207,10205.78223,0.2524861878453038,0.2252509855914225,0.24165908678234854
181,10690.500342095876,16.160999999999998,61.719,10206.2373,0.253038674033149,0.2272968719076485,0.2352575716982807
182,10691.000342111874,15.452,63.184,10206.69238,0.2491712707182321,0.23606095538413235,0.2546939210359033
183,10691.500342127874,15.626,64.893,10207.14746,0.2469613259668509,0.2368435810577978,0.2782136042391297
184,10692.000342143874,15.365,62.695,10207.60254,0.2436464088397789,0.2420963157318933,0.2481330987199277
185,10692.500342159874,15.279000000000002,66.11399999999999,10208.05762,0.2441988950276241,0.242227427705512,0.2955945530668743
186,10693.000342175874,15.109000000000002,65.992,10208.5127,0.2491712707182321,0.2387254109388305,0.2938357771950843
187,10693.500342191874,14.857,67.579,10208.96777,0.2569060773480662,0.233493361475113,0.3171055860647869
191,10695.500342255871,14.365,65.992,10210.78809,0.2756906077348067,0.22127874074838946,0.2938357771950843
192,10696.000342271873,14.446,63.916,10211.24316,0.2751381215469612,0.22110059131150314,0.2646544355240382
193,10696.500342287873,14.446,67.09100000000001,10211.69824,0.26353591160220985,0.23083457960823603,0.3098592109682333
194,10697.000342303872,14.446,66.725,10212.15332,0.2662983425414363,0.2284400300272377,0.3044777314977219
195,10697.500342319872,14.609000000000002,64.527,10212.6084,0.2624309392265194,0.2305096959697069,0.27309827735347664
196,10698.000342335872,14.609000000000002,63.184,10213.06348,0.25966850828729265,0.23296192677789546,0.2546939210359033
197,10698.500342351872,14.691,62.207,10213.51855,0.2524861878453038,0.2389192664340292,0.24165908678234854
198,10699.000342367872,14.857,60.00899999999999,10213.97363,0.25524861878453026,0.23500955213404234,0.21338646315932025
199,10699.500342383872,14.94,59.399,10214.42871,0.2569060773480662,0.232843865470186,0.20579099687007976
200,10700.000342399871,14.857,60.131,10214.88379,0.2624309392265194,0.2285777117598473,0.21491842883906867
201,10700.50034241587,14.774,58.178,10215.33887,0.25911602209944745,0.2321513224789387,0.19090506819101452
202,10701.00034243187,14.609000000000002,60.253,10215.79395,0.2602209944751381,0.2324673154683881,0.2164547135790128
203,10701.50034244787,14.527,60.742,10216.24805,0.26132596685082865,0.2321367730973425,0.22265604037980904
204,10702.000342463869,14.527,59.643,10216.70313,0.2569060773480662,0.2361305240323505,0.20881635922720587
205,10702.500342479869,14.446,61.108,10217.1582,0.253038674033149,0.2404106866225515,0.22734352898329
206,10703.000342495869,14.365,61.963,10217.61328,0.25911602209944745,0.2354330312013781,0.2384493180872391
207,10703.500342511868,14.205,62.94,10218.06836,0.2657458563535911,0.2308486593181616,0.2514109639599907
208,10704.000342527868,14.046,66.236,10218.52246,0.2580110497237569,0.2391111562131041,0.2973582874432587
210,10705.000342559868,14.046,66.969,10219.43262,0.2508287292817678,0.24595795143506546,0.30806033190818266
211,10705.500342575868,14.046,66.847,10219.8877,0.2469613259668509,0.2498096419497084,0.3062665101573296
212,10706.000342591868,13.89,66.236,10220.3418,0.2447513812154697,0.25347679254083555,0.2973582874432587
213,10706.500342607867,13.89,65.992,10220.79688,0.2508287292817678,0.2473352843515203,0.2938357771950843
214,10707.000342623869,13.89,60.742,10221.25195,0.25745856353591146,0.2409661353982623,0.22265604037980904
215,10707.500342639869,13.735,56.468,10221.70703,0.2508287292817678,0.2487269631483913,0.17075005947406555
216,10708.000342655869,13.658,55.369,10222.16113,0.2508287292817678,0.24942710440659466,0.15821021433728674
217,10708.500342671869,13.658,55.369,10222.61621,0.2441988950276241,0.2561988809968189,0.15821021433728674
218,10709.000342687867,13.43,55.125,10223.07129,0.2325966850828728,0.27125200055796433,0.15546899688995675
219,10709.500342703866,13.43,54.515,10223.52539,0.2403314917127072,0.2625220511147193,0.14868310204283394
220,10710.000342719866,13.355,56.224,10223.98047,0.2464088397790053,0.25676525011827145,0.16793843292576566
221,10710.500342735866,13.132,58.91,10224.43457,0.254696132596685,0.2505109360078621,0.19977891190990754
222,10711.000342751866,12.841,59.277,10224.88965,0.2469613259668509,0.2612679309314881,0.20428469175121672
223,10711.500342767866,12.345999999999998,59.765,10225.34473,0.2497237569060773,0.2635065900347545,0.2103354404446947
224,10712.000342783866,11.804,61.596,10225.79883,0.2491712707182321,0.2700858985186245,0.2336554179104472
225,10712.500342799865,11.414,61.23,10226.25391,0.2513812154696133,0.2722467608663735,0.2289148437217321
226,10713.000342815863,11.036,62.817,10226.70801,0.2425414364640885,0.2869608736882424,0.2497630253478677
227,10713.500342831863,10.852,65.015,10227.16309,0.2414364640883977,0.29070782547245344,0.27992833662725913
228,10714.000342847863,10.974,67.335,10227.61719,0.2414364640883977,0.2890873826995487,0.31347219808827065
235,10717.500342959864,13.132,65.259,10230.7998,0.25524861878453026,0.2499687045446417,0.2833723180322398
236,10718.000342975864,13.28,65.137,10231.25391,0.2662983425414363,0.2382577171609556,0.2816479033484953
237,10718.500342991863,13.132,65.382,10231.70801,0.27127071823204424,0.2352047688383389,0.2851157888682529
238,10719.000343007863,13.132,61.963,10232.16309,0.2679558011049723,0.2381145185559267,0.2384493180872391
239,10719.500343023863,12.769,59.032,10232.61719,0.2657458563535911,0.2434834978961968,0.2012725139149734
240,10720.000343039865,12.416,58.3,10233.07227,0.2640883977900551,0.2484701965377613,0.19237365223014544
241,10720.500343055865,12.277,61.963,10233.52637,0.2668508287292818,0.2472861501849127,0.2384493180872391
242,10721.000343071864,11.738,66.11399999999999,10233.98047,0.26353591160220985,0.2560811553045316,0.2955945530668743
256,10728.00034329586,9.171,67.335,10240.3418,0.2292817679558012,0.3329941536058804,0.31347219808827065
257,10728.50034331186,9.592,66.847,10240.7959,0.2337016574585636,0.3194464746168795,0.3062665101573296
258,10729.000343327858,10.089,66.236,10241.25,0.23093922651933685,0.31520471791257404,0.2973582874432587
259,10729.50034334386,10.318,67.579,10241.7041,0.222099447513812,0.3240926912801614,0.3171055860647869
260,10730.00034335986,10.26,66.60300000000001,10242.1582,0.21988950276243105,0.3282738583289984,0.3026939817513795
275,10737.500343599855,9.538,67.09100000000001,10248.96973,0.23480662983425404,0.31884195471333304,0.3098592109682333
276,10738.000343615855,9.432,64.649,10249.42383,0.2453038674033149,0.30690798362577626,0.2747985881360623
277,10738.500343631855,9.379,65.015,10249.87793,0.2441988950276241,0.3091665607621835,0.27992833662725913
278,10739.000343647856,9.223,65.50399999999999,10250.33203,0.2453038674033149,0.3103658846432599,0.2868499805375458
279,10739.500343663856,9.12,65.87,10250.78613,0.2430939226519337,0.31495097448293635,0.2920819458877121
280,10740.000343679856,9.018,64.893,10251.23926,0.238121546961326,0.32334091758514816,0.2782136042391297
290,10745.000343839854,11.414,66.11399999999999,10255.77832,0.26132596685082865,0.26188641901522197,0.2955945530668743
291,10745.500343855854,11.607,64.527,10256.23242,0.27127071823204424,0.2501794121607423,0.27309827735347664
292,10746.000343871854,11.607,61.963,10256.68555,0.27624309392265195,0.2456761827418489,0.2384493180872391
293,10746.500343887854,11.478,64.405,10257.13965,0.2685082872928176,0.25416963930282804,0.2714027467684875
294,10747.000343903854,11.223,64.649,10257.59375,0.25745856353591146,0.26807274036712425,0.2747985881360623
295,10747.500343919854,10.974,65.137,10258.04688,0.254696132596685,0.2740372803464268,0.2816479033484953
296,10748.000343935852,10.493,65.626,10258.50098,0.2513812154696133,0.28394342656091104,0.2885890614013619
297,10748.500343951851,10.202,67.457,10258.95508,0.238121546961326,0.3039996771053523,0.31528633478503715
310,10755.00034415985,8.968,64.405,10264.85254,0.2585635359116022,0.29860659769920844,0.2714027467684875
311,10755.500344175849,9.018,62.207,10265.30566,0.2624309392265194,0.2933893378509449,0.24165908678234854
312,10756.000344191849,8.917,57.567,10265.75977,0.26519337016574585,0.291972824637677,0.18361199479133727
313,10756.500344207849,8.769,54.75899999999999,10266.21289,0.2657458563535911,0.2938143077802846,0.15138600270068847
314,10757.000344223849,8.574,57.323,10266.66602,0.2685082872928176,0.29407969767139325,0.18072815066040046
315,10757.500344239847,8.384,60.375,10267.12012,0.25524861878453026,0.3128422795175387,0.21799532955584905
316,10758.000344255848,8.106,62.32899999999999,10267.57324,0.2558011049723757,0.3174744367496685,0.24327076127341896
317,10758.500344271848,7.837999999999999,64.405,10268.02734,0.2469613259668509,0.33441280555596603,0.2714027467684875
318,10759.000344287848,7.621,64.283,10268.48047,0.2430939226519337,0.3445358313784981,0.2697119829422051
328,10764.000344447846,8.29,65.259,10273.01367,0.23646408839779,0.3396033907577922,0.2833723180322398
329,10764.500344463846,8.431000000000001,61.963,10273.46777,0.2491712707182321,0.31957806700133223,0.2384493180872391
330,10765.000344479846,8.671,64.527,10273.9209,0.2508287292817678,0.3130419975037538,0.27309827735347664
333,10766.500344527843,9.379,66.48,10275.28027,0.2513812154696133,0.30033323045469235,0.3009006876671321
334,10767.000344543843,9.592,65.50399999999999,10275.7334,0.25524861878453026,0.29248021377259764,0.2868499805375458
