,DEPTH,density_Porosity,Rt,TVD,GR,Sw,Vshale
608,10637.000340383764,0.22044198895027625,27.45221,10559.0,76.875,0.20018498515644154,0.07068600468959788
609,10637.500340399762,0.21602209944751385,21.45838,10559.5,77.555,0.2310563075822749,0.07713249668395264
610,10638.00034041576,0.2110497237569061,21.12559,10560.0,78.056,0.2383555483580625,0.08194830761481596
611,10638.50034043176,0.21215469613259666,19.32062,10560.5,77.584,0.2479426840704554,0.0774097147536355
612,10639.00034044776,0.2176795580110498,19.11484,10561.0,77.234,0.2429469754358049,0.0740765503579269
613,10639.50034046376,0.2099447513812154,18.91059,10561.5,76.875,0.2532543513671703,0.07068600468959788
614,10640.000340479759,0.20165745856353576,18.51637,10562.0,76.572,0.2664540111518475,0.0678464950134216
615,10640.50034049576,0.19889502762430933,18.98765,10562.5,76.402,0.2667810284471115,0.06626219199094703
616,10641.00034051176,0.19447513812154688,17.98493,10563.0,75.694,0.2803470643120411,0.05973160318024865
617,10641.500340527758,0.18618784530386728,18.19024,10563.5,77.028,0.2911681966336359,0.07212750784180777
618,10642.00034054376,0.17734806629834238,19.182270000000006,10564.0,77.584,0.2976720236184411,0.0774097147536355
619,10642.50034055976,0.169060773480663,21.98324,10564.5,77.372,0.2916928440618048,0.07538750067061245
620,10643.00034057576,0.1701657458563535,24.99509,10565.0,76.402,0.27177842853203465,0.06626219199094703
621,10643.50034059176,0.16187845303867388,24.57244,10565.5,76.88600000000002,0.2881384994010701,0.07078946955057501
622,10644.00034060776,0.15414364640883976,23.46197,10566.0,77.584,0.3096753315490796,0.0774097147536355
623,10644.50034062376,0.1629834254143646,22.31887,10566.5,77.584,0.30028589622565305,0.0774097147536355
624,10645.000340639759,0.17182320441988946,24.01902,10567.0,75.694,0.27457122489698604,0.05973160318024865
625,10645.500340655759,0.18066298342541434,25.620520000000006,10567.5,76.747,0.2528432298372321,0.06948401186428678
626,10646.000340671759,0.19779005524861884,26.24189,10568.0,77.584,0.2281983343325458,0.0774097147536355
627,10646.500340687759,0.21878453038674028,28.90645,10568.5,80.419,0.1965624182601393,0.1054416987154114
628,10647.000340703758,0.2397790055248617,28.33313,10569.0,80.419,0.18115738599871453,0.1054416987154114
629,10647.500340719758,0.2441988950276241,31.20227,10569.5,80.419,0.16950311644184976,0.1054416987154114
630,10648.000340735758,0.2414364640883977,35.27885,10570.0,80.419,0.16123317463663173,0.1054416987154114
631,10648.500340751758,0.2430939226519337,36.0839,10570.5,80.419,0.15833744777154268,0.1054416987154114
632,10649.000340767758,0.2458563535911601,37.76909000000001,10571.0,80.419,0.15302584295334584,0.1054416987154114
633,10649.50034078376,0.24088397790055244,39.60567,10571.5,80.419,0.15252038066803408,0.1054416987154114
634,10650.000340799756,0.2359116022099448,39.6916,10572.0,80.419,0.15556642591004147,0.1054416987154114
635,10650.500340815755,0.2259668508287292,37.14423,10572.5,82.309,0.16788970428005867,0.12519320685789054
636,10651.000340831757,0.2138121546961326,35.28197,10573.0,84.10600000000002,0.1820562839581837,0.14480308408866008
637,10651.500340847757,0.22375690607734794,33.10711,10573.5,87.03399999999998,0.17958803269184087,0.17858103787453047
638,10652.000340863757,0.2342541436464088,28.766040000000004,10574.0,89.116,0.1840293768242516,0.20405142300114348
639,10652.500340879757,0.2447513812154697,26.96348,10574.5,92.94,0.1819287578655472,0.2542020879533202
640,10653.000340895756,0.2480662983425413,25.2443,10575.0,94.121,0.1855090258120196,0.2706225788291425
641,10653.500340911756,0.2491712707182321,23.84579,10575.5,93.937,0.1900249612792134,0.26803423500771995
642,10654.000340927756,0.2541436464088397,22.53384,10576.0,93.412,0.19165388059322186,0.2607101689583967
