,DEPTH,Rt,density_porosity,TVD,GR,Sw,Vshale
510,11798.500377551543,4.30386,0.2839779005524861,10532.70703,69.057,0.2415454726338056,0.09968348820239124
511,11799.000377567543,4.5122800000000005,0.2679558011049723,10533.15723,67.737,0.2500065168908211,0.09069928031434504
512,11799.500377583545,4.5818900000000005,0.2541436464088397,10533.60742,68.01100000000001,0.2615838501206184,0.09254860299189346
513,11800.000377599543,4.70825,0.2585635359116022,10534.05859,69.748,0.25363867631498044,0.10446283422294396
514,11800.500377615544,5.12926,0.2585635359116022,10534.50879,71.988,0.24300649344442585,0.12032446872090055
515,11801.000377631543,5.0804,0.2624309392265194,10534.95898,73.27600000000002,0.24057390921764304,0.12970578717540054
516,11801.500377647542,5.0597699999999985,0.26519337016574585,10535.41016,73.48100000000002,0.23855276977307474,0.13121685581201686
517,11802.000377663542,4.78172,0.26519337016574585,10535.86035,73.986,0.2453905196795067,0.1349604669020774
518,11802.50037767954,4.54844,0.2640883977900551,10536.31055,73.007,0.25265736176795395,0.12773047799924794
519,11803.000377695542,4.8561,0.2624309392265194,10536.76172,71.774,0.24606716649054386,0.11878442443045464
520,11803.500377711543,5.0134,0.26519337016574585,10537.21191,71.6,0.2396534431244256,0.1175361217923572
521,11804.000377727541,4.7954300000000005,0.2513812154696133,10537.66211,70.803,0.25850319432934515,0.1118625510225051
522,11804.50037774354,4.5998,0.2486187845303865,10538.11328,70.244,0.2668757423499996,0.10792619039752448
523,11805.000377759541,4.62616,0.25635359116022105,10538.56348,70.95,0.25808501164233016,0.1129035568998044
524,11805.50037777554,4.59058,0.2569060773480662,10539.01367,71.857,0.2585260767578815,0.11938110511717895
525,11806.00037779154,4.5198800000000015,0.25635359116022105,10539.46484,72.702,0.2611016737050073,0.12550108077154085
526,11806.50037780754,4.49998,0.26132596685082865,10539.91504,73.3,0.2566992832938844,0.12988243659158702
527,11807.00037782354,4.96641,0.25745856353591146,10540.36523,73.3,0.2480183917887559,0.12988243659158702
528,11807.50037783954,5.52999,0.253038674033149,10540.81641,73.3,0.2391461742714156,0.12988243659158702
529,11808.00037785554,5.68708,0.2436464088397789,10541.2666,73.3,0.2449107399390313,0.12988243659158702
530,11808.50037787154,5.84465,0.2469613259668509,10541.7168,72.926,0.23834404795450045,0.12713734664687348
531,11809.000377887542,5.78094,0.2441988950276241,10542.16699,72.94800000000002,0.2423648241663932,0.1272983679826547
532,11809.50037790354,5.47325,0.2441988950276241,10542.61816,75.316,0.2490841979033141,0.14496591735997694
533,11810.000377919541,5.73165,0.24088397790055244,10543.06836,77.33800000000002,0.24675432190596386,0.16059123264408426
534,11810.50037793554,6.59121,0.238121546961326,10543.51855,76.24,0.23277227120691826,0.15204354736058415
535,11811.000377951541,6.80213,0.2359116022099448,10543.96973,72.563,0.2312814224634225,0.12448866549701687
536,11811.500377967539,7.248439999999999,0.2375690607734805,10544.41992,71.16199999999998,0.22248480679105045,0.114409192013627
537,11812.00037798354,7.66013,0.2453038674033149,10544.87012,70.458,0.20959940645643466,0.10942897367707877
538,11812.50037799954,8.004719999999999,0.253038674033149,10545.32129,70.23,0.1987707782181528,0.10782805676950544
539,11813.000378015537,9.29117,0.254696132596685,10545.77148,69.331,0.18329683247515904,0.10157230393392047
540,11813.500378031538,10.47046,0.2447513812154697,10546.22168,66.184,0.17968196211757362,0.0803694403147196
541,11814.000378047542,12.15905,0.2414364640883977,10546.67188,64.244,0.16902845798462662,0.06782104677097865
542,11814.500378063538,12.175,0.2414364640883977,10547.12305,62.99100000000001,0.16891770285253185,0.05992102801640745
543,11815.000378079538,13.331270000000002,0.2430939226519337,10547.57324,62.612,0.1603255173446913,0.05756252380079273
544,11815.500378095538,14.575820000000002,0.2458563535911601,10548.02344,62.18899999999999,0.15160536817001224,0.05494705136058151
545,11816.000378111536,15.1101,0.2508287292817678,10548.47461,61.783,0.14594914882026142,0.05245329474808799
546,11816.500378127537,15.42844,0.2480662983425413,10548.9248,61.624,0.14604400684352456,0.051481083786376516
547,11817.000378143535,16.25947,0.2513812154696133,10549.375,62.938,0.14038687263154695,0.05959034958334865
548,11817.500378159537,17.46878,0.25635359116022105,10549.8252,64.594,0.13281337727316395,0.07005621680712293
549,11818.000378175537,18.53276,0.2580110497237569,10550.27637,64.792,0.1281162320062739,0.07132624168321514
550,11818.500378191535,19.29195,0.26353591160220985,10550.72656,66.205,0.1229375760075896,0.08050741673443709
551,11819.000378207536,20.57324,0.2662983425414363,10551.17676,67.78699999999999,0.1178128614180245,0.0910361431921929
552,11819.500378223534,21.82401,0.2718232044198895,10551.62695,67.78699999999999,0.11206208791708154,0.0910361431921929
553,11820.000378239536,22.38609,0.27348066298342544,10552.07813,67.752,0.10997570811033316,0.09080031086854852
554,11820.500378255538,23.07991,0.2662983425414363,10552.52832,67.97800000000001,0.1112312953694945,0.0923254444738768
555,11821.000378271536,23.43878,0.2696132596685083,10552.97852,68.767,0.10901939442300887,0.09769338064251566
556,11821.500378287537,23.4172,0.2679558011049723,10553.42871,69.562,0.10974427340438464,0.10317114883616907
557,11822.000378303535,23.75818,0.2679558011049723,10553.87988,69.91199999999999,0.10895389634851722,0.10560493453016276
558,11822.500378319535,23.38457,0.2679558011049723,10554.33008,69.437,0.10982081334776014,0.102305239023931
559,11823.000378335537,23.11402,0.2640883977900551,10554.78027,68.225,0.1120793102721519,0.09399861669123122
